公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模,股價變化,股價變化率
4526 東台,2023/6/30,TSE,4526,5,機械業,0.13,2.0,2548264610,0.33,26.49,0.98,-4.79,0.22,0.22,91.7,-74.26,-36.2,-36.2,13.39,-5.87,0.25,-10.57,0.03,-0.09,19.11,4918.0,中,2.38,0.14
4552 力達-KY,2023/6/30,TSE,4552,5,電機製品,0.13,2.0,1160000000,3.07,5.49,0.67,-6.7,-0.12,-0.12,14.07,5.07,10.57,10.57,13.22,3.62,1.9,-5.79,0.59,1.52,32.95,3822.0,中,1.85,0.06
4702 中美實,2023/6/30,OTC,4702,38,染料及顏料,0.5,2.0,723332000,0.44,12.11,0.89,-55.76,-22.51,-22.51,-152.64,-88.49,-89.0,-89.0,-89.34,20.21,7.52,-13.24,-2.79,0.07,14.3,1034.0,中,-0.45,-0.03
4707 磐亞,2023/6/30,OTC,4707,21,清潔劑,1.48,2.0,3790753710,2.66,13.25,0.8,-35.54,-77.94,-77.94,-118.6,-33.22,-26.52,-26.52,-32.64,3.26,8.39,-9.51,-0.58,0.4,12.05,4619.0,中,0.23,0.02
4711 永純,2023/6/30,OTC,4711,21,樹脂,1.4,2.0,610560000,1.7,,0.99,-43.61,23.95,23.95,227.35,178.49,197.01,197.01,230.93,-9.68,-3.06,-4.37,0.91,0.29,16.51,1038.0,中,1.89,0.13
4745 合富-KY,2023/6/30,OTC,4745,22,醫療耗材,-0.35,2.0,774495470,1.95,6.52,0.85,-9.45,-6.11,-6.11,-8.85,-12.86,-20.18,-20.18,-31.61,3.91,-3.31,-2.62,-0.26,0.49,27.78,2277.0,中,2.88,0.12
4807 日成-KY,2023/6/30,TSE,4807,18,其他,-11.05,2.0,383960320,-15.13,,0.97,-35.17,-147.34,-147.34,-364.48,-1229.36,-831.8,-831.8,-887.44,-11.06,-7.25,17.78,-8.18,-3.61,19.1,751.0,小,-0.68,-0.03
4905 台聯電,2023/6/30,OTC,4905,27,通訊設備,2.6,2.0,292600440,4.02,290.43,0.62,-3.75,8.66,8.66,-103.92,319.97,325.97,325.97,-80.49,26.6,5.08,14.1,5.89,3.73,56.54,1682.0,中,6.39,0.13
4909 新復興,2023/6/30,OTC,4909,27,主機板,0.38,2.0,933568640,0.23,,0.81,16.82,117.33,117.33,64.24,-90.93,1082.18,1082.18,328.44,-1.66,-1.57,,0.22,0.06,20.45,1909.0,中,2.85,0.16
4930 燦星網,2023/6/30,TSE,4930,6,家電製品,0.37,2.0,800000000,2.6,4.01,0.7,-27.91,-9.15,-9.15,-10.78,-33.97,-41.19,-41.19,-51.71,-9.96,1.17,-4.32,-0.98,0.8,26.25,2100.0,中,-0.6,-0.02
4933 友輝,2023/6/30,OTC,4933,26,光電/ IO,3.02,2.0,803486750,4.2,12.53,0.92,-20.74,-20.99,-20.99,-50.4,-34.5,-34.32,-34.32,-40.34,-3.52,-1.04,-20.04,-1.78,1.7,33.72,2930.0,中,1.39,0.04
4935 茂林-KY,2023/6/30,TSE,4935,26,光電/ IO,1.22,2.0,1288640910,1.68,7.86,0.95,-33.57,-46.1,-46.1,-93.23,-57.63,-55.56,-55.56,-55.52,-8.85,5.76,-8.86,-1.57,1.05,54.21,7513.0,中,-0.56,-0.01
4942 嘉彰,2023/6/30,TSE,4942,26,電子零組件,1.92,2.0,1423676130,3.9,6.12,0.72,-31.87,-19.66,-19.66,-22.88,-17.66,-16.97,-16.97,-18.02,-8.92,1.03,,-0.5,2.28,39.02,5915.0,中,3.29,0.09
4956 光鋐,2023/6/30,TSE,4956,26,光電/ IO,-1.64,2.0,1004082360,-2.62,,0.89,-5.92,-79.25,-79.25,-5660.05,-528.22,-517.34,-517.34,-517.34,-7.52,-6.82,-1.17,-1.63,-0.48,16.15,1622.0,中,-0.5,-0.03
4960 誠美材,2023/6/30,TSE,4960,26,光電/ IO,-2.84,2.0,5723727330,-3.62,,0.73,-23.35,-80.25,-80.25,-245.72,-209.73,-209.26,-209.26,-136.6,-21.09,-10.8,0.31,-4.65,-0.64,11.55,6789.0,中,-1.13,-0.09
4973 廣穎,2023/6/30,OTC,4973,24,半導體,7.44,2.0,635058330,1.73,8.1,0.99,9.48,58.67,58.67,267.06,387.7,497.52,497.52,757.6,8.5,10.72,-3.42,1.12,0.54,31.55,2004.0,中,4.49,0.17
4999 鑫禾,2023/6/30,TSE,4999,28,電子零組件,-0.05,2.0,744172000,0.62,21.25,0.82,-16.56,-36.39,-36.39,-117.41,-79.49,-84.87,-84.87,-84.87,-6.0,-2.92,-18.67,-3.09,0.29,35.54,2776.0,中,-0.57,-0.02
5014 建錩,2023/6/30,OTC,5014,10,金屬基本,-0.76,2.0,1853330540,0.25,13.98,0.97,-21.18,-61.73,-61.73,-91.81,-87.23,-97.06,-97.06,-94.8,14.08,-2.67,67.75,-2.79,0.04,14.6,2854.0,中,-1.61,-0.1
5215 科嘉-KY,2023/6/30,TSE,5215,25,電子零組件,1.0,2.0,643375000,3.17,8.75,0.93,-21.47,-19.22,-19.22,-51.33,-24.72,-24.53,-24.53,-42.64,-2.07,2.57,14.08,-0.59,1.65,44.63,3001.0,中,-1.73,-0.04
5223 安力-KY,2023/6/30,OTC,5223,25,電子零組件,-2.36,2.0,445497810,-0.15,25.92,0.94,-37.98,-57.41,-57.41,-112.59,-108.25,-102.57,-102.57,-102.48,-17.04,-5.51,40.64,-3.31,-0.06,37.81,1769.0,中,-0.86,-0.02
5281 大峽谷-KY,2023/6/30,OTC,5281,26,家電製品,-2.64,2.0,370100000,-2.63,,0.87,-12.03,-3.29,-3.29,56.4,74.53,75.25,75.25,75.32,-3.32,-11.94,-17.61,4.48,-0.65,16.6,614.0,小,-1.9,-0.1
5356 協益,2023/6/30,OTC,5356,25,塑膠製品,-0.07,2.0,1030400000,0.71,71.41,0.8,-20.04,19.8,19.8,67.09,135.79,147.99,147.99,72.31,-2.36,-3.2,10.54,1.48,0.37,30.14,3266.0,中,9.23,0.44
5392 能率,2023/6/30,OTC,5392,26,電子零組件,1.53,2.0,1689589900,0.76,93.24,0.67,-18.73,-22.18,-22.18,-645.81,-41.52,-27.04,-27.04,-302.95,-1.6,0.64,-9.86,-0.08,0.31,22.04,3768.0,中,0.74,0.03
5438 東友,2023/6/30,OTC,5438,25,光電/ IO,19.2,2.0,1125365650,-0.81,24.44,0.87,-24.53,-20.07,-20.07,-121.6,-525.7,32.82,32.82,-13.89,13.94,29.17,-0.87,0.47,-0.17,20.3,2284.0,中,2.16,0.12
5469 瀚宇博,2023/6/30,TSE,5469,28,主機板,3.65,2.0,5284413520,5.26,3.28,0.9,-11.24,16.43,16.43,33.23,4.31,-1.03,-1.03,-0.99,4.56,8.52,-8.65,0.17,2.65,45.75,25392.0,中,11.9,0.35
5481 新華,2023/6/30,OTC,5481,20,其他,-0.96,2.0,714028910,-1.24,,0.75,1.39,-3.82,-3.82,23.32,-10.57,-34.84,-34.84,-165.27,-4.97,-5.49,17.71,-0.18,-0.23,13.2,943.0,小,0.6,0.05
5512 力麒,2023/6/30,OTC,5512,14,建設,0.33,2.0,7439927120,-0.34,,0.57,17.44,-32.68,-32.68,-53.53,-84.21,-135.18,-135.18,-127.6,3.04,-0.71,37.4,-0.45,0.03,10.2,7589.0,中,0.31,0.03
5515 建國,2023/6/30,TSE,5515,14,營造,3.59,2.0,2520001050,3.69,14.81,0.76,-18.46,-33.31,-33.31,-70.8,157.29,168.04,168.04,-41.29,-5.98,4.77,,1.59,0.7,13.31,3604.0,中,1.4,0.12
5521 工信,2023/6/30,TSE,5521,14,營造,0.46,2.0,4922801550,0.15,54.78,0.73,17.41,99.25,99.25,106.27,17082.26,125.19,125.19,124.17,-0.95,1.51,-6.44,0.6,0.02,7.88,3879.0,中,0.29,0.04
5530 龍巖,2023/6/30,OTC,5530,20,靈骨塔業,2.34,2.0,4200841990,2.76,10.76,0.71,-4.27,-14.02,-14.02,-31.95,-37.85,-41.54,-41.54,-29.98,2.52,6.69,15.34,-0.63,1.39,36.7,15417.0,中,-2.55,-0.06
5533 皇鼎,2023/6/30,TSE,5533,14,建設,4.82,2.0,2852449440,6.55,5.49,0.56,-36.13,-16.22,-16.22,-12.55,-29.33,-25.52,-25.52,-0.99,-2.45,5.3,-3.48,-1.61,2.11,18.3,5220.0,中,1.51,0.09
5608 四維航,2023/6/30,TSE,5608,15,海運,-1.25,2.0,3892670900,-4.83,14.95,0.9,-49.73,-98.69,-98.69,-107.21,-124.5,-141.62,-141.62,-140.52,-5.9,15.53,-7.61,-5.75,-1.16,21.21,8456.0,中,-3.15,-0.13
5907 大洋-KY,2023/6/30,TSE,5907,18,百貨批發,-2.57,2.0,1955310000,-5.92,,0.45,-12.93,-11.79,-11.79,-49.28,-40.73,-75.51,-75.51,-48.05,-15.12,-16.14,-9.05,-1.0,-2.11,15.45,3021.0,中,0.5,0.03
6005 群益證,2023/6/30,TSE,6005,17,證券,1.49,2.0,21709080970,6.08,8.09,0.82,59.25,,,6381.58,368.91,1440.15,1440.15,1256.76,15.57,8.74,,1.45,,13.87,30935.0,中,2.19,0.19
6015 宏遠證,2023/6/30,OTC,6015,17,證券,0.92,2.0,3512515950,2.4,115.53,0.86,70.88,,,112.65,328.88,237.31,237.31,175.5,-3.8,0.21,30.4,2.02,,11.4,4004.0,中,1.5,0.15
6016 康和證,2023/6/30,OTC,6016,17,證券,2.68,2.0,5944549860,12.53,6.17,0.94,196.14,,,376.76,484.64,358.61,358.61,358.62,14.91,19.71,,4.24,,14.05,8352.0,中,2.95,0.27
6021 美好證,2023/6/30,OTC,6021,17,證券,7.13,2.0,3109659740,2.2,92.54,0.87,0.69,,,5.78,20.46,46.14,46.14,46.18,10.33,14.4,,0.38,,15.4,4789.0,中,-2.4,-0.13
6026 福邦證,2023/6/30,OTC,6026,17,證券,3.36,2.0,3961618410,5.71,18.9,0.99,903.4,,,338.71,350.91,251.43,251.43,251.43,-20.46,11.43,75.27,4.72,,13.15,5210.0,中,2.55,0.24
6108 競國,2023/6/30,TSE,6108,28,主機板,-0.33,2.0,1598993110,0.06,84.15,0.83,-18.6,4.86,4.86,18.13,411.53,-75.57,-75.57,-183.61,-4.65,-1.04,-13.81,0.18,0.01,17.7,2902.0,中,0.83,0.05
6114 久威,2023/6/30,OTC,6114,28,主機板,-0.47,2.0,439119370,-0.02,13.51,0.94,-33.46,-44.79,-44.79,-164.47,-88.74,-100.26,-100.26,-85.29,-4.8,-1.1,-21.97,-4.57,-0.01,27.02,1208.0,中,3.78,0.16
6116 彩晶,2023/6/30,TSE,6116,26,光電/ IO,-4.39,2.0,29403288510,-3.76,,0.86,-35.53,-177.43,-177.5,-571.15,-447.74,-325.06,-325.06,-320.56,-12.31,-7.12,22.81,-2.34,-0.61,13.15,38665.0,中,0.4,0.03
6136 富爾特,2023/6/30,TSE,6136,27,資訊通路,7.37,2.0,1155364120,0.03,85.53,0.78,3.69,52.71,52.71,56.62,116.56,115.47,115.47,116.35,-0.13,-0.08,-3.63,0.25,0.01,18.81,2305.0,中,0.94,0.05
6141 柏承,2023/6/30,TSE,6141,28,主機板,-3.09,2.0,1133540050,-7.65,,0.95,-33.35,-111.05,-111.05,-422.2,-890.99,-2303.09,-2303.09,-389.25,0.74,-18.4,10.7,-2.66,-1.44,17.7,2006.0,中,-1.25,-0.07
6194 育富,2023/6/30,OTC,6194,28,主機板,2.77,2.0,480000000,4.23,10.68,0.84,4.17,1477.64,1477.64,228.98,402.52,387.25,387.25,398.83,0.44,-1.53,-24.39,4.57,1.51,29.86,1447.0,中,3.17,0.12
6405 悅城,2023/6/30,TSE,6405,26,光電/ IO,-1.14,2.0,658000000,-1.14,,0.6,-49.19,-89.74,-89.74,-548.07,-141.49,-283.97,-283.97,-283.97,-12.85,-1.95,-16.65,-1.85,-0.44,22.9,1513.0,中,1.64,0.08
6456 GIS-KY,2023/6/30,TSE,6456,26,光電/ IO,-2.84,2.0,3379398000,-3.33,26.23,0.82,-38.69,-82.11,-82.11,-332.03,-200.31,-192.55,-192.55,-187.62,-23.68,-5.26,-32.8,-2.34,-3.07,72.9,24636.0,中,-5.29,-0.07
6768 志強-KY,2023/6/30,TSE,6768,37,鞋及旅行箱,2.42,2.0,1960456170,2.1,7.58,0.98,-15.23,-40.18,-40.18,-74.13,-62.09,-63.52,-63.52,-63.15,5.24,6.35,13.73,-2.53,1.51,68.1,13351.0,中,2.6,0.04
6807 峰源-KY,2023/6/30,TSE,6807,38,五金及家具,2.07,2.0,540000000,5.04,6.02,0.79,-19.15,-10.11,-10.11,531.5,118.08,86.74,86.74,90.39,-6.06,6.7,50.11,1.38,1.83,26.62,1539.0,中,0.56,0.02
8032 光菱,2023/6/30,OTC,8032,29,資訊通路,4.9,2.0,518103000,2.5,12.27,0.86,-28.28,-52.57,-52.57,-94.61,-72.21,-60.54,-60.54,-60.54,-3.67,10.11,,-1.89,0.89,28.86,1606.0,中,-1.02,-0.03
8043 蜜望實,2023/6/30,OTC,8043,28,資訊通路,-1.33,2.0,799071700,-1.44,70.9,0.89,-18.84,-83.33,-83.33,-243.8,-128.51,-137.82,-137.82,-138.51,-17.94,-3.28,-5.27,-3.03,-0.47,26.73,2225.0,中,-0.29,-0.01
8096 擎亞,2023/6/30,OTC,8096,29,資訊通路,-5.37,2.0,1493430660,-15.26,,0.79,-29.85,-20.87,-20.87,-356.56,-317.1,-378.4,-378.4,-385.96,-23.08,-16.8,5.82,-7.39,-2.43,11.53,1727.0,中,0.14,0.01
8103 瀚荃,2023/6/30,TSE,8103,28,電子零組件,0.02,2.0,789534130,3.11,8.32,0.98,-30.73,-24.79,-24.79,-56.8,-50.04,-55.29,-55.29,-55.75,-7.92,-1.76,-8.09,-2.24,1.2,34.54,2870.0,中,0.09,0.0
8105 凌巨,2023/6/30,TSE,8105,26,光電/ IO,0.88,2.0,4415448510,1.54,14.97,0.87,-9.51,-34.83,-34.83,-55.06,-52.92,-62.49,-62.49,-63.06,-0.55,4.29,-16.64,-1.56,0.27,15.23,6822.0,中,1.24,0.09
8107 大億金茂,2023/6/30,OTC,8107,5,汽車組件,-0.92,2.0,750000000,-0.85,626.5,0.9,-6.23,-55.57,-55.57,-655.26,-122.07,-122.36,-122.36,-352.71,5.04,-3.44,-17.47,-2.16,-0.17,17.35,1301.0,中,0.35,0.02
8110 華東,2023/6/30,TSE,8110,24,半導體,0.64,2.0,5177398760,-0.69,99.81,0.73,-24.37,-96.09,-96.09,-223.72,-208.79,-875.25,-875.25,-249.4,-13.3,0.61,-7.35,-0.51,-0.01,14.19,7430.0,中,0.59,0.04
8182 加高,2023/6/30,OTC,8182,28,電子零組件,1.44,2.0,1070412150,1.08,24.2,0.98,-19.59,-58.98,-58.98,-93.1,-81.47,-83.36,-83.36,-80.89,2.35,3.3,4.38,-2.89,0.34,29.75,3292.0,中,-1.11,-0.04
8213 志超,2023/6/30,TSE,8213,28,主機板,-0.12,2.0,2712424880,3.04,6.19,0.77,-27.15,-30.87,-30.87,-33.01,-41.79,-47.78,-47.78,-41.25,-9.54,-1.19,-2.61,-1.45,1.64,39.45,10701.0,中,0.54,0.01
8240 華宏,2023/6/30,OTC,8240,26,光電/ IO,0.27,2.0,1000044140,2.79,11.29,0.83,-28.86,-29.97,-29.97,-61.29,-45.23,-33.3,-33.3,-49.61,-12.06,-1.22,-6.79,-0.8,1.09,31.44,3290.0,中,3.73,0.13
8249 菱光,2023/6/30,TSE,8249,28,光電/ IO,24.56,2.0,1490550000,2.19,7.3,0.87,-8.34,11.57,11.57,8.77,5.89,11.97,11.97,47.28,18.93,43.39,-22.97,0.06,0.71,31.4,4680.0,中,3.22,0.11
8354 冠好,2023/6/30,OTC,8354,20,石化,0.91,2.0,785322630,1.29,111.98,0.57,-15.05,-39.03,-39.03,-261.29,-59.69,-56.83,-56.83,-75.25,22.97,2.72,,-0.53,0.32,14.45,1135.0,中,0.2,0.01
8411 福貞-KY,2023/6/30,TSE,8411,20,金屬製品,-1.92,2.0,2184043190,-0.42,,0.57,-1.99,-13.89,-13.89,-95.7,88.72,83.96,83.96,84.34,0.49,0.96,19.77,1.31,-0.11,14.75,3221.0,中,-0.15,-0.01
8429 金麗-KY,2023/6/30,TSE,8429,18,鞋及旅行箱,-3.1,2.0,1857471510,-0.29,,0.33,-60.14,97.15,97.15,74.66,80.79,78.74,78.74,78.8,-6.02,-6.07,-82.21,0.9,-0.09,10.9,2025.0,中,0.45,0.04
8443 阿瘦,2023/6/30,TSE,8443,18,鞋及旅行箱,0.36,2.0,668000000,0.72,,0.99,-5.8,22.4,22.4,100.23,108.23,107.29,107.29,107.08,-6.61,-12.83,-12.09,4.81,0.09,12.15,812.0,小,0.7,0.06
8473 山林水,2023/6/30,TSE,8473,35,資源回收,0.48,2.0,1470039780,0.46,,0.81,5.68,-33.57,-33.57,-43.32,-52.32,-79.02,-79.02,-83.24,0.05,-4.16,37.5,-0.71,-0.23,29.85,4388.0,中,0.05,0.0
8488 吉源-KY,2023/6/30,TSE,8488,20,金屬製品,-2.18,2.0,675000000,-2.64,,0.45,-0.86,95.82,95.82,63.07,-143.86,-195.68,-195.68,-26.5,-6.83,-7.01,-12.77,-0.52,-0.95,15.9,1073.0,中,0.45,0.03
8499 鼎炫-KY,2023/6/30,TSE,8499,31,其他電子,0.56,2.0,518569460,2.91,5.91,0.7,-26.48,-34.3,-34.3,-51.62,-27.66,-25.01,-25.01,-25.87,98.24,182.35,26.4,-0.82,4.38,98.54,5212.0,中,-1.96,-0.02
8921 沈氏,2023/6/30,OTC,8921,20,印刷,1.4,2.0,465921590,-1.11,,0.74,12.37,0.41,0.41,19.04,-201.66,-225.48,-225.48,12.41,-6.1,0.37,-8.46,-1.65,-0.19,14.16,683.0,小,-0.44,-0.03
9103 美德醫療-DR,2023/6/30,TSE,9103,91,醫療耗材,-2.96,2.0,827042000,-3.88,,0.3,-12.05,-47.31,-47.31,-56.25,-39.2,-54.94,-54.94,-54.94,-16.34,-13.78,,-0.22,-0.31,6.62,1361.0,中,-0.18,-0.03
910322 康師傅-DR,2023/6/30,TSE,910322,91,其他食品,3.17,2.0,916513457,11.66,,0.01,3.18,11.37,11.37,39.52,26.15,24.02,24.02,24.02,-10.29,-19.76,,0.11,,24.05,454.0,小,-1.09,-0.04
9105 泰金寶-DR,2023/6/30,TSE,9105,91,光電/ IO,0.84,2.0,5205332519,3.42,3.28,0.24,0.16,21.81,21.81,201.95,50.54,86.28,86.28,86.28,-3.89,9.66,,1.04,0.1,3.81,4086.0,中,-0.04,-0.01
911608 明輝-DR,2023/6/30,TSE,911608,91,貿易業,0.76,2.0,526896000,1.87,2.21,0.09,21.95,16.64,16.64,-41.62,-12.05,-14.06,-14.06,-14.06,10.42,7.19,,0.45,0.12,3.29,113.0,小,0.14,0.04
911622 泰聚亨-DR,2023/6/30,TSE,911622,91,金屬基本,1.5,2.0,3714761903,2.82,0.76,0.04,-38.36,-34.79,-34.79,-50.9,12.7,-3.8,-3.8,-3.8,-9.44,8.15,,0.02,0.19,5.12,154.0,小,-0.01,-0.0
9136 巨騰-DR,2023/6/30,TSE,9136,91,電子零組件,-4.87,2.0,440764000,-1.71,,0.05,-23.27,-77.15,-77.15,-373.47,-147.79,-220.5,-220.5,-220.5,-18.19,-11.07,,-2.83,,6.66,1066.0,中,0.5,0.08
9904 寶成,2023/6/30,TSE,9904,37,鞋及旅行箱,5.08,2.0,29467872130,3.4,6.47,0.79,-6.0,-4.73,-4.73,-22.99,-43.7,-47.55,-47.55,-54.43,5.05,37.53,,-1.81,1.53,30.18,92824.0,中,0.28,0.01
9944 新麗,2023/6/30,TSE,9944,20,不織布,4.07,2.0,1091071000,7.15,46.42,0.66,-18.11,-27.75,-27.75,-86.62,159.74,189.49,189.49,-242.07,4.46,9.27,-1.96,2.72,2.32,21.45,2340.0,中,1.98,0.1
9946 三發地產,2023/6/30,TSE,9946,14,建設,0.53,2.0,3265541500,0.49,34.8,0.73,-60.29,-43.19,-43.19,-59.23,-24.24,-1.5,-1.5,-1.5,0.48,0.76,,-0.09,0.1,13.86,4670.0,中,2.23,0.19
